"","HSIC_cl","HSIC_cat","HSIC_mean"
"1",0.0161507927746085,0.157597486207248,0.0378069186833685
"2",0.00836612998179731,0.0126269097153147,0.00739723304078521
"3",3.12428590427682e-05,0.00189622739848172,0.000875554762445163
"4",0.00305831736256335,0.0479286327755295,0.051968295944302
"5",0.022534957820832,0.101567009384089,0.0456152419240075
"6",0.00581891765529763,0.00943272049498689,0.141681595827288
"7",0.0510452122289582,0.485584594227351,0.0628226412288005
"8",0.0509378434503616,0.25017252570063,0.244995931724459
"9",0.0109513075024418,0.0750777406753619,0.0495244167005042
"10",0.113313054526322,0.443793108860757,0.356521278342155
"11",0.0107413473213783,0.0480976912136352,0.0859000178521773
"12",0.00700618862647862,0.0631532353142019,0.0849177464548848
"13",0.00584653828246628,0.0270327037077606,0.18552572598719
"14",0.0134849878251255,0.130498624888261,0.0948188568390665
"15",0.00270145543035072,0.0194242707411981,0.0193793638369855
"16",0.0369888919558874,0.398528214440003,0.224087095322199
"17",0.000207120773242697,0.00891230535948329,0.00798218782774107
"18",0.0856269881113136,0.276650460859704,0.180185454521497
"19",0.0139376107647423,0.288591497349903,0.490541820822622
"20",0.000396525813065818,0.00852631659156178,0.0332996776775715
"21",0.266532636004895,0.282616879881846,0.158816837400448
"22",0.154500914518163,0.670967498053799,0.361259078334427
"23",0.0866399505181312,0.219305767537584,0.171664397406384
"24",0.000850354286830335,0.14082248723281,0.0261830792483844
"25",0.00190619061911312,0.0306007890942595,0.0341524717679642
"26",0.0027102191058076,0.185122685731718,0.0753255920774414
"27",0.00170808698271019,0.0530712851272428,0.0273554983458479
"28",0.000763549069235148,0.0177762784123061,0.0340593791508683
"29",0.00201716096433413,0.0151765749741677,0.0102338466037593
"30",0.00936699760782789,0.0385389801481987,0.163777945515535
"31",0.00188855546509259,0.138696734761521,0.0806962219087803
"32",0.0130211591719019,0.126069900185893,0.297770956942181
"33",0.0168717122939721,0.117135587341012,0.102311672692682
"34",0.0970914641904206,0.181651151031596,0.391599833180987
"35",0.001247819834723,0.00191437823608787,0.00474242410375147
"36",0.000263616724700322,0.00231197777645797,0.00136595206811985
"37",0.0353829907469486,0.509835386364662,0.375305443194872
"38",0.0385119393222588,0.0452360554110104,0.0939371788278998
"39",0.0455816064716761,0.138367559366416,0.111741504340821
"40",0.149952881472981,0.187469910748888,0.202429563911714
"41",0.0123231543078711,0.0239565294941424,0.0462449221965889
"42",0.00156784833000945,0.0853406992007448,0.00553550946354486
"43",0.0071378085374787,0.228650612889422,0.269743836301726
"44",0.239122643681651,0.20848125727875,0.359153086504464
"45",0.00130067300829939,0.0213307309886026,0.0407974416285173
"46",0.0721386821334218,0.159138425585547,0.342164988184983
"47",0.000640135168757272,0.0264698293300034,0.00786345335316652
"48",0.00632244692142581,0.0876329104804472,0.0622932865441491
"49",0.00332998784075544,0.0194492701498754,0.0153269607843396
"50",0.000156789211136377,0.00874624002163904,0.00436708519536877
